IC50,Cancer,Drug,From_Sanger,Fingerprint_797,Fingerprint_686,Fingerprint_677,Fingerprint_611,1:17648653,1:26775129,1:32276071,1:43349439,1:119967612,1:147619542,1:198744135,2:29717630,2:140982234,2:141020073,3:10028685,3:10098853,3:47057329,3:52409716,3:69959279,3:195786304,5:24511455,5:150077319,5:158840111,6:29942785,6:33320440,6:36684301,7:6387277,7:148817906,8:112406608,8:112587127,9:8517920,9:8528737,12:45836955,12:45850546,16:304343,Predicted IC50,Validation
3.176001,907173,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3893427271,7
1.262042,908150,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3893427271,6
2.629854,907173,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2196539924,5
3.095066,908150,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2196539924,1
2.59111,908152,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2196539924,3
3.406062,907173,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2196539924,2
3.154035,908150,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2196539924,3
3.133817,908152,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2196539924,6
2.682806,907173,29,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5596294297,5
0.782183,908150,29,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5596294297,5
